                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.93496,                 1.1263,                 1.3143,                0.36217,                0.47044,                0.39121,                0.23177,                 1.5772,                  2.093,                 1.9486,             0.00064362,             0.00064362,             0.00064362
                    100,                0.91946,                 1.1309,                 1.3008,                  0.576,                0.38014,                 0.4398,                 0.2706,                 1.5582,                 2.1543,                 1.9494,             0.00063744,             0.00063744,             0.00063744
                    101,                  0.918,                 1.0973,                 1.2997,                0.44069,                 0.4283,                0.38111,                0.22332,                 1.6447,                 2.2805,                 2.0184,             0.00063125,             0.00063125,             0.00063125
                    102,                0.89541,                 1.1393,                 1.2933,                0.49208,                0.40113,                0.37399,                0.22058,                 1.6901,                 2.1287,                 2.0882,             0.00062506,             0.00062506,             0.00062506
                    103,                0.88247,                 1.0625,                 1.2768,                0.47158,                0.37441,                0.37517,                0.21673,                  1.612,                 2.1287,                  1.987,             0.00061887,             0.00061887,             0.00061887
                    104,                0.88472,                 1.1258,                 1.3047,                 0.4454,                  0.502,                0.44191,                0.25745,                 1.5627,                  2.083,                  1.937,             0.00061269,             0.00061269,             0.00061269
                    105,                0.88201,                 1.0978,                 1.2809,                0.41928,                0.48124,                0.39037,                0.22866,                 1.5977,                 2.1591,                 1.9542,              0.0006065,              0.0006065,              0.0006065
                    106,                0.88078,                 1.0214,                 1.2677,                0.60792,                0.40149,                0.43971,                0.24632,                 1.5937,                 2.0743,                 1.9546,             0.00060031,             0.00060031,             0.00060031
                    107,                0.89735,                 1.0927,                 1.2955,                0.51644,                 0.4157,                0.41154,                0.23449,                  1.654,                  2.325,                 1.9845,             0.00059413,             0.00059413,             0.00059413
                    108,                0.86085,                 1.0612,                 1.2668,                0.51385,                0.45704,                0.45416,                0.26305,                  1.636,                 2.2049,                 2.0123,             0.00058794,             0.00058794,             0.00058794
                    109,                0.87802,                 1.1005,                 1.3152,                0.46799,                0.48766,                 0.4438,                0.25639,                 1.5893,                 2.0362,                 1.9639,             0.00058175,             0.00058175,             0.00058175
                    110,                0.84241,                 1.0246,                 1.2535,                0.45501,                0.43712,                0.41448,                0.24986,                 1.6248,                 2.2349,                 1.9884,             0.00057556,             0.00057556,             0.00057556
                    111,                0.86991,                 1.0689,                 1.2802,                0.61508,                0.39955,                0.44619,                0.26989,                  1.646,                 2.1031,                 2.0027,             0.00056938,             0.00056938,             0.00056938
                    112,                0.86666,                0.98758,                 1.2709,                0.51521,                0.44511,                0.43603,                0.25934,                 1.6165,                  2.081,                  2.023,             0.00056319,             0.00056319,             0.00056319
                    113,                0.85396,                 1.0115,                 1.2732,                0.58345,                0.35679,                0.40305,                0.23263,                 1.6416,                 2.1065,                 2.0421,               0.000557,               0.000557,               0.000557
                    114,                 0.8443,                0.97356,                 1.2545,                0.64237,                0.40821,                0.45435,                0.27438,                 1.5827,                 2.0495,                 1.9908,             0.00055081,             0.00055081,             0.00055081
                    115,                0.84854,                0.98221,                 1.2631,                0.49885,                0.43811,                 0.4299,                0.26224,                 1.6163,                 2.0328,                 2.0267,             0.00054463,             0.00054463,             0.00054463
                    116,                0.84043,                0.98282,                 1.2607,                0.36824,                0.49501,                0.41805,                0.24938,                 1.5843,                 2.2853,                 1.9707,             0.00053844,             0.00053844,             0.00053844
                    117,                0.81803,                0.94233,                 1.2339,                0.45259,                0.45356,                0.39593,                0.23831,                  1.682,                 2.2804,                 2.0829,             0.00053225,             0.00053225,             0.00053225
